chemical,flammable,specific_gravity,cpvc,glass_filled_pp,pvdf,ryton_pps,etfe,ptfe,ss316,hastelloy_c276,titanium,carbon,ceramic,silicon_carbide,epdm,fkm,fep
Heptane,True,0.68,NR,NR,285,200,300,500,480,200,200,500,500,500,NR,200,300
Hexane,True,0.66,NR,NR,285,200,300,500,480,257,200,500,500,500,NR,200,300
Hexyl Alcohol,True,0.82,NR,NR,180,70,ND,300,140,140,140,480,500,500,200,248,200
"Hydrochloric Acid, 2%",False,1.01,225,225,285,NR,300,500,NR,140,175,480,500,500,140,230,400
"Hydrochloric Acid, 10%",False,1.05,225,225,285,NR,300,500,NR,140,160,480,500,500,140,230,400
"Hydrochloric Acid, 15%",False,1.08,225,225,285,NR,300,500,NR,140,NR,480,500,500,140,230,400
"Hydrochloric Acid, 20%",False,1.1,212,180,285,NR,300,500,NR,140,NR,480,500,500,140,230,400
"Hydrochloric Acid, 25%",False,1.13,212,175,285,NR,300,500,NR,140,NR,140,500,500,140,160,400
"Hydrochloric Acid, 37%",False,1.18,NR,176,194,NR,300,500,NR,140,NR,140,500,500,130,160,400
"Hydrofluoric Acid, 30%",False,1.18,140,NR,275,140,300,500,NR,250,NR,NR,500,500,NR,212,300
"Hydrofluoric Acid, 40%",False,1.16,100,NR,250,140,300,500,NR,125,NR,NR,500,500,NR,176,300
"Fo Hydrofluoric Acid, 48%",False,1.18,100,NR,250,140,300,500,NR,130,NR,NR,500,500,NR,176,300
"Hydrofluoric Acid, 50%",False,1.2,100,NR,250,140,300,500,NR,130,NR,NR,500,500,NR,140,300
"Hydrofluoric Acid, 70%",False,1.26,NR,NR,230,70,250,500,NR,130,NR,NR,500,500,NR,ND,300
"Hydrofluosilicic Acid, 20%",False,1.17,212,180,280,200,300,500,145,185,NR,140,500,500,140,140,300
"Hydrofluosilicic Acid, 50%",False,,212,180,280,200,300,500,70,300,NR,ND,500,500,120,70,300
"Hydrogen Peroxide, 5%",False,1.0,225,176,212,100,250,500,212,237,237,NR,500,500,NR,176,300
